Verb,Present Participle,Past,Past Participle
abear,abearing,abore,aborn or aborne
abide,abiding,abode or abided,"abode, abided, or (rare), abidden"
abite,abiting,abit,abitten
accurse,accursing,accursed,accursed or accurst
ache,aching,ached or ( obsolete ) oke,ached or (obsolete) aken
acknow,acknowing,acknew,acknown
adraw,adrawing,adrew,adrawn
afare,afaring,afared or afore,afared or afaren
aftersee,afterseeing,aftersaw,afterseen
aknow,aknowing,aknew,aknown
arise,arising,arose,arisen
arize,arizing,aroze,arizen
atgo,atgoing,atwent,atgone
atride,atriding,atrode,atridden
atrin,atrinning,atran,atrun
atrine,atrining,atrined or atrone,atrined or atrinnen
atsake,atsaking,atsook,atsaken
atshake,atshaking,atshook,atshaken
atsit,atsitting,atsat or atseet,atsat or atsitten
atslip,atslipping,atslipped or atslope,atslipped or atslopen
autohide,autohiding,autohid,autohidden
autorun,autorunning,autoran,autorun
awake,awaking,awoke or ( rare ) awaked,awoken
awaken,awakening,awoke,awoken
awrath,*awrathing,*awrathed,awrathed
ayield,ayielding,ayielded or ayold,ayielded or ayolden
back-bite,back-biting,back-bit,back-bitten
backbite,backbiting,backbit,backbitten
backshine,backshining,backshone or backshined,backshined
backslide,backsliding,backslid,backslidden or backslid
bandsaw,bandsawing,bandsawed,bandsawn
bear,bearing,bore,born
beat,beating,beat,beaten or beat
bebark,bebarking,bebarked or bebork ( obsolete ),bebark
bebless,beblessing,beblessed,beblessed or beblest
beblow,beblowing,beblew,beblown
bebreak,bebreaking,bebroke,bebroken
becarve,becarving,becorve or becarved,becorven or becarved
become,becoming,became or ( nonstandard ) becomed,become
bedaff,bedaffing,bedaffed,bedaffed or bedaft
bede,beding,bade,bode or boden
bedelve,bedelving,bedelved or bedolve,bedelved or bedolven
bedo,bedoing,bedid,bedone
bedraw,bedrawing,bedrew,bedrawn
bedrink,bedrinking,bedrank,bedrink
bedrite,bedriting,bedrote or bedrit,bedritten
bedrive,bedriving,bedrove,bedriven
befall,befalling,befell,befallen
beflay,beflaying,beflayed,beflayed or beflain
befly,beflying,beflew,beflown
befold,befolding,befolded or befeld,befolded or befolden
beget,begetting,begot or begat,begotten
begin,beginning,began,begun
begive,begiving,begave,begiven
bego,begoing,bewent,begone
behelp,behelping,"behelped or beholp ( archaic, dialectal )",behelped
behew,behewing,behewed,behewn
behold,beholding,beheld,beheld or rarely beholden
beknow,beknowing,beknew,beknown
belawgive,belawgiving,belawgave,belawgiven
belimp,belimping,belamp or belimped,belump or belimped
belive,beliving,belove,beliven
bename,benaming,benamed,benamed or benempt
benim,benimming,benam or benimmed,"benomen, benome or benimmed"
bequeath,bequeathing,bequeathed or bequoth,bequeathed or bequethen
beride,beriding,berode,beridden
besee,beseeing,besaw,beseen
beseech,beseeching,beseeched (or archaic besought),beseeched or besought
beshake,beshaking,beshook,beshaken
beshear,beshearing,beshore or besheared,beshorn or besheared
beshite,beshiting,beshit or beshote or beshat,beshitten
besing,besinging,besang,besung
besit,besitting,besat,besat or besitten
bespeak,bespeaking,bespoke or bespake (archaic),bespoken or bespoke
bespit,bespitting,bespat,"bespit, or bespitted"
besteal,bestealing,bestole,bestolen
bestep,bestepping,"bestepped, bestept ( dated ) , or bestope ( obsolete )","bestepped, bestept or bestopen"
bestrew,bestrewing,bestrewed,bestrewn
bestride,bestriding,bestrode,bestrode or bestridden or bestrid
beswike,beswiking,beswoke,beswicken
beswink,beswinking,beswank,beswunk or beswunken
betake,betaking,betook,betaken
betee,beteeing,beteed or betow,beteed or betown
bethrow,bethrowing,bethrew,bethrown
betread,betreading,betrod,betrodden
bewrite,bewriting,bewrote,bewritten
beyelp,beyelping,beyelped or beyolp,beyelped or beyolpen
bide,biding,bode or bided,bided or bidden
bind,binding,bound,bound or bounden
bite,biting,bit,bitten
blike,bliking,bliked or bloke,bliked or blicken
blin,blinning,blinned or blan,blinned or blun
blive,bliving,blove,bliven
blow,blowing,blew,blown
braid,braiding,braided,braided or obsolete browden
break,breaking,broke,broken
break-up,breaking-up,broke-up,broken-up
brow-beat,brow-beating,brow-beat,brow-beaten
browbeat,browbeating,browbeat,browbeaten
burst,bursting,burst or archaically brast,burst or rarely bursten
buy,buying,bought,"bought or (rare, dialectal) boughten"
caretake,caretaking,caretook,caretaken
carve,carving,carved or (archaic) corve,"corven (archaic), carved, or carven"
chide,chiding,"chid, chided, or chode","chid, chided, or chidden"
choose,choosing,chose,chosen
clepe,cleping,"cleped, clepen or clept","cleped, clept, clepen or yclept"
clop,clopping,clopped,clopped
cludge,cludged,cludged,cludging
co-write,co-writing,co-wrote,co-written
come,coming,came,come or comen
copywrite,copywriting,copywrote,copywritten
counterattract,*counterattracting,*counterattracted,counterattracted
counterdraw,counterdrawing,counterdrew,counterdraw
countersing,countersinging,countersang,countersung
countersink,countersinking,countersank,countersunk
cowrite,cowriting,cowrote,cowritten
creep,creeping,"crept, creeped, or obsolete crope","crept, creeped, or archaic cropen"
crossbite,crossbiting,crossbit,crossbitten
crow,crowing,crowed or crew (Br. Eng. sense 1 only),crowed
de,dein,did,dyun
deep-freeze,deep-freezing,deep-froze or deep-freezed,deep-frozen or deep-freezed
delphie,delphie,delphied,-
delve,delving,delved or obsolete dalf,delved or obsolete dolven
depaint,depainting,depainted,depainted or (archaic and rare) depainten
disbecome,disbecoming,disbecame,disbecome
disprove,disproving,disproved,disproved or disproven
do,doing,did,done
downbear,downbearing,downbore,downborne
downcome,downcoming,downcame,downcome
downdraw,downdrawing,downdrew,downdrawn
downfall,downfalling,downfell,downfallen
downtrod,downtrodding,downtrod,downtrodden
draw,drawing,drew,drawn
dress,dressing,dressed,dressed or drest (obsolete)
drinck,drincking,dranck,drunck
drink,drinking,drank or regional (southern US) drunk or nonstandard drinked,drunk drinked
drite,driting,drate,dritten
drive,driving,drove or (archaic) drave,driven
eat,eating,"ate or et (dialect, nonstandard)",eaten
enblow,enblowing,enblew,enblown
enfreeze,enfreezing,enfroze,enfrozen
entertake,entertaking,entertook,entertaken
enwrite,enwriting,enwrote,enwritten
equip,equipping,equipped,equipped or equipt
falchion,*falchioning,falchioned,*falchioned
fall,falling,fell or ( in archaic sense only ) felled,fallen or (in archaic sense only) felled
fare,faring,fared or archaic fore,fared or rarely faren
farsee,farseeing,farsaw,farseen
farspeak,farspeaking,farspoke,farspoken
fight,fighting,fought,fought or (archaic) foughten
find,finding,found or fand ( dialectal ),found or (archaic) founden
finedraw,finedrawing,finedrew,finedrawn
fistfight,fistfighting,fistfought,fistfought or (archaic) fistfoughten
flabagast,flabagasting,flabagasted,flabaghast
flite,fliting,flited or flote,flited or flitten
fly,flying,flew,flown
flyblow,flyblowing,flyblew,flyblown
forbear,forbearing,forbore,forborne
forbeat,forbeating,forbeat,forbeaten
forbid,forbidding,"forbid, forbade or forbad",forbidden
forbite,forbiting,forbit,forbitten
forbreak,forbreaking,forbroke,forbroken
forburst,forbursting,forburst or forbrast,forburst or forbursten
forcarve,forcarving,forcorve or forcarved,forcorven or forcarved
forcleave,forcleaving,forclove,forcloven
fordo,fordoing,fordid,fordone
fordrive,fordriving,fordrove,fordriven
forebear,forebearing,forebore,foreborne
forebite,forebiting,forebit,forebitten
